"MCQ280.Code.or.Value","MCQ280.Value.Description","MCQ280.Count","MCQ280.Cumulative","MCQ280.Skip.to.Item"
"1 to 100","Range of Values",292,292,NA
"77777","Refused",0,292,NA
"99999","Don't know",14,306,NA
".","Missing",10164,10470,NA
