"URDOP6LC.Code.or.Value","URDOP6LC.Value.Description","URDOP6LC.Count","URDOP6LC.Cumulative","URDOP6LC.Skip.to.Item"
"0","At or above the detection limit",136,136,NA
"1","Below lower detection limit",2289,2425,NA
".","Missing",80,2505,NA
