"DR2TPROT.Code.or.Value","DR2TPROT.Value.Description","DR2TPROT.Count","DR2TPROT.Cumulative","DR2TPROT.Skip.to.Item"
"0 to 433.82","Range of Values",7715,7715,NA
".","Missing",2047,9762,NA
