"AUDTYL04.Code.or.Value","AUDTYL04.Value.Description","AUDTYL04.Count","AUDTYL04.Cumulative","AUDTYL04.Skip.to.Item"
"0 to 2","Range of Values",3834,3834,NA
".","Missing",666,4500,NA
