"DR1TM161.Code.or.Value","DR1TM161.Value.Description","DR1TM161.Count","DR1TM161.Cumulative","DR1TM161.Skip.to.Item"
"0 to 10.366","Range of Values",8389,8389,NA
".","Missing",949,9338,NA
