"BPD110A.Code.or.Value","BPD110A.Value.Description","BPD110A.Count","BPD110A.Cumulative","BPD110A.Skip.to.Item"
"1","Yes",1128,1128,NA
"2","No",2396,3524,NA
"7","Refused",0,3524,NA
"9","Don't know",6,3530,NA
".","Missing",2683,6213,NA
