"PAD645.Code.or.Value","PAD645.Value.Description","PAD645.Count","PAD645.Cumulative","PAD645.Skip.to.Item"
"10 to 960","Range of Values",2239,2239,NA
"7777","Refused",0,2239,NA
"9999","Don't know",5,2244,NA
".","Missing",7527,9771,NA
