"OHQ142.Code.or.Value","OHQ142.Value.Description","OHQ142.Count","OHQ142.Cumulative","OHQ142.Skip.to.Item"
"1","Yes",42,42,NA
"2","No",5662,5704,NA
"7","Refused",0,5704,NA
"9","Don't know",1,5705,NA
".","Missing",3142,8847,NA
