"DR1LANG.Code.or.Value","DR1LANG.Value.Description","DR1LANG.Count","DR1LANG.Cumulative","DR1LANG.Skip.to.Item"
"1","English",124511,124511,NA
"2","Spanish",18181,142692,NA
"3","English and Spanish",2524,145216,NA
"4","Other",487,145703,NA
".","Missing",0,145703,NA
