"OHD13LAS.Code.or.Value","OHD13LAS.Value.Description","OHD13LAS.Count","OHD13LAS.Cumulative","OHD13LAS.Skip.to.Item"
"0 to 9","Range of Values",1424,1424,NA
"99","Calculation cannot be determined",392,1816,NA
".","Missing",4942,6758,NA
