"AUDTYL66.Code.or.Value","AUDTYL66.Value.Description","AUDTYL66.Count","AUDTYL66.Cumulative","AUDTYL66.Skip.to.Item"
"0 to 1.66","Range of Values",2154,2154,NA
".","Missing",214,2368,NA
