"LBCBR5.Code.or.Value","LBCBR5.Value.Description","LBCBR5.Count","LBCBR5.Cumulative","LBCBR5.Skip.to.Item"
"4.097 to 432.4","Range of Values",301,301,NA
".","Missing",0,301,NA
