"AUXLR236.Code.or.Value","AUXLR236.Value.Description","AUXLR236.Count","AUXLR236.Cumulative","AUXLR236.Skip.to.Item"
"-20 to 82","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
