"CIQD109.Code.or.Value","CIQD109.Value.Description","CIQD109.Count","CIQD109.Cumulative","CIQD109.Skip.to.Item"
"1","Yes",42,42,"CIQDPHA"
"2","No",64,106,""
"7","Refuse",0,106,""
"9","Don't know",0,106,""
".","Missing",672,778,""
