"RIDAGEYR.Code.or.Value","RIDAGEYR.Value.Description","RIDAGEYR.Count","RIDAGEYR.Cumulative","RIDAGEYR.Skip.to.Item"
"0 to 84","Range of Values",9792,9792,NA
"85",">= 85 years of age",173,9965,NA
".","Missing",0,9965,NA
