"OCQ420.Code.or.Value","OCQ420.Value.Description","OCQ420.Count","OCQ420.Cumulative","OCQ420.Skip.to.Item"
"1","Yes",610,610,""
"2","No",1643,2253,"OCQ460"
"7","Refused",3,2256,"OCQ460"
"9","Don't know",4,2260,"OCQ460"
".","Missing",4374,6634,""
