"LBDTHGSI.Code.or.Value","LBDTHGSI.Value.Description","LBDTHGSI.Count","LBDTHGSI.Cumulative","LBDTHGSI.Skip.to.Item"
"0.35 to 136.73","Range of Values",2800,2800,NA
".","Missing",7129,9929,NA
