"LBDBCDSI.Code.or.Value","LBDBCDSI.Value.Description","LBDBCDSI.Count","LBDBCDSI.Cumulative","LBDBCDSI.Skip.to.Item"
"1.78 to 78.38","Range of Values",5254,5254,NA
"1.25","Below Detection Limit Fill Value",3012,8266,NA
".","Missing",1041,9307,NA
