"DR2IFIBE.Code.or.Value","DR2IFIBE.Value.Description","DR2IFIBE.Count","DR2IFIBE.Cumulative","DR2IFIBE.Skip.to.Item"
"0 to 67.2","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
