"LBCBR6LA.Code.or.Value","LBCBR6LA.Value.Description","LBCBR6LA.Count","LBCBR6LA.Cumulative","LBCBR6LA.Skip.to.Item"
"0.6646 to 29.54","Range of Values",284,284,NA
".","Missing",0,284,NA
