"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.016 to 75.8","Range of Values",2664,2664,NA
".","Missing",91,2755,NA
