"RHD018.Code.or.Value","RHD018.Value.Description","RHD018.Count","RHD018.Cumulative","RHD018.Skip.to.Item"
"86 to 142","Range of Values",46,46,NA
"7777","Refused",0,46,NA
"9999","Don't know",9,55,NA
".","Missing",8842,8897,NA
