"DMDHRBRN.Code.or.Value","DMDHRBRN.Value.Description","DMDHRBRN.Count","DMDHRBRN.Cumulative","DMDHRBRN.Skip.to.Item"
"1","Born in 50 US States or Washington, DC",6545,6545,NA
"2","Born in Mexico",1974,8519,NA
"3","Born Elsewhere",1046,9565,NA
"7","Refused",12,9577,NA
"9","Don't know",0,9577,NA
".","Missing",388,9965,NA
