"AUXLR184.Code.or.Value","AUXLR184.Value.Description","AUXLR184.Count","AUXLR184.Cumulative","AUXLR184.Skip.to.Item"
"-17 to 84","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
