"DXXPT41X.Code.or.Value","DXXPT41X.Value.Description","DXXPT41X.Count","DXXPT41X.Cumulative","DXXPT41X.Skip.to.Item"
"376.2 to 1015.1","Range of Values",3291,3291,NA
".","Missing",417,3708,NA
