"DEX6PSAL.Code.or.Value","DEX6PSAL.Value.Description","DEX6PSAL.Count","DEX6PSAL.Cumulative","DEX6PSAL.Skip.to.Item"
"1","Present",6,6,NA
".","Missing",2986,2992,NA
