"OHQ010.Code.or.Value","OHQ010.Value.Description","OHQ010.Count","OHQ010.Cumulative","OHQ010.Skip.to.Item"
"1","Very good,",2618,2618,NA
"2","Good,",3591,6209,NA
"3","Fair, or",2105,8314,NA
"4","Poor ?",903,9217,NA
"7","Refused",4,9221,NA
"9","Don't know",3,9224,NA
".","Missing",6,9230,NA
