"LBDCRYSI.Code.or.Value","LBDCRYSI.Value.Description","LBDCRYSI.Count","LBDCRYSI.Cumulative","LBDCRYSI.Skip.to.Item"
"0.016 to 3.776","Range of Values",8305,8305,NA
"0.012","Fill Value of Limit of Detection",12,8317,NA
".","Missing",945,9262,NA
