"DR1IS180.Code.or.Value","DR1IS180.Value.Description","DR1IS180.Count","DR1IS180.Cumulative","DR1IS180.Skip.to.Item"
"0 to 22.824","Range of Values",130698,130698,NA
".","Missing",696,131394,NA
