"WTSPH09.Code.or.Value","WTSPH09.Value.Description","WTSPH09.Count","WTSPH09.Cumulative","WTSPH09.Skip.to.Item"
"0 to 794668.1316","Range of Values",1894,1894,NA
".","Missing",0,1894,NA
