"TYXP251.Code.or.Value","TYXP251.Value.Description","TYXP251.Count","TYXP251.Cumulative","TYXP251.Skip.to.Item"
"-298 to 150","Range of Values",72,72,NA
".","Missing",5513,5585,NA
