"RFXC091.Code.or.Value","RFXC091.Value.Description","RFXC091.Count","RFXC091.Cumulative","RFXC091.Skip.to.Item"
"-7.561 to 4.545","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
