"WTSBA02.Code.or.Value","WTSBA02.Value.Description","WTSBA02.Count","WTSBA02.Cumulative","WTSBA02.Skip.to.Item"
"0 to 351844.8247","Range of Values",946,946,NA
".","Missing",65,1011,NA
