"DXXTOTBS.Code.or.Value","DXXTOTBS.Value.Description","DXXTOTBS.Count","DXXTOTBS.Cumulative","DXXTOTBS.Skip.to.Item"
"0.719 to 1.692","Range of Values",4731,4731,NA
".","Missing",3003,7734,NA
