"WTSHM16.Code.or.Value","WTSHM16.Value.Description","WTSHM16.Count","WTSHM16.Cumulative","WTSHM16.Skip.to.Item"
"0.0000000 to 770746.6538900","Range of Values",0,0,NA
"0","0",2547,2547,NA
".","Missing",0,2547,NA
