"DRD370EQ.Code.or.Value","DRD370EQ.Value.Description","DRD370EQ.Count","DRD370EQ.Cumulative","DRD370EQ.Skip.to.Item"
"1 to 22","Range of Values",665,665,NA
".","Missing",9588,10253,NA
