"VTQ281D.Code.or.Value","VTQ281D.Value.Description","VTQ281D.Count","VTQ281D.Cumulative","VTQ281D.Skip.to.Item"
"1 to 48","Range of Values",90,90,NA
".","Missing",3357,3447,NA
