"AUXRR163.Code.or.Value","AUXRR163.Value.Description","AUXRR163.Count","AUXRR163.Cumulative","AUXRR163.Skip.to.Item"
"-32 to 67","Range of Values",2752,2752,NA
".","Missing",282,3034,NA
