"AUXRR161.Code.or.Value","AUXRR161.Value.Description","AUXRR161.Count","AUXRR161.Cumulative","AUXRR161.Skip.to.Item"
"-19 to 96","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
