"OHAROCDE.Code.or.Value","OHAROCDE.Value.Description","OHAROCDE.Count","OHAROCDE.Cumulative","OHAROCDE.Skip.to.Item"
"1","Yes",531,531,NA
"2","No",2,533,NA
".","Missing",8423,8956,NA
