"WTSPP14.Code.or.Value","WTSPP14.Value.Description","WTSPP14.Count","WTSPP14.Cumulative","WTSPP14.Skip.to.Item"
"0 to 857037.09866","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
