"DIQ100.Code.or.Value","DIQ100.Value.Description","DIQ100.Count","DIQ100.Cumulative","DIQ100.Skip.to.Item"
"1","Yes",621,621,""
"2","No",2558,3179,"DIQ120"
"7","Refused",1,3180,"DIQ120"
"9","Don't know",4,3184,"DIQ120"
".","Missing",6309,9493,""
