"URXTHF.Code.or.Value","URXTHF.Value.Description","URXTHF.Count","URXTHF.Cumulative","URXTHF.Skip.to.Item"
"0.0566 to 0.0566","Range of Values",2634,2634,NA
".","Missing",122,2756,NA
