"SSQ061.Code.or.Value","SSQ061.Value.Description","SSQ061.Count","SSQ061.Cumulative","SSQ061.Skip.to.Item"
"0 to 50","Range of Values",3991,3991,NA
"7777","Refused",2,3993,NA
"9999","Don't know",29,4022,NA
".","Missing",3,4025,NA
