"DRD350BQ.Code.or.Value","DRD350BQ.Value.Description","DRD350BQ.Count","DRD350BQ.Cumulative","DRD350BQ.Skip.to.Item"
"1 to 15","Range of Values",888,888,NA
".","Missing",9062,9950,NA
