"MPQ120U.Code.or.Value","MPQ120U.Value.Description","MPQ120U.Count","MPQ120U.Cumulative","MPQ120U.Skip.to.Item"
"30","Lower leg - right",124,124,NA
".","Missing",4917,5041,NA
