"DXXPT41X.Code.or.Value","DXXPT41X.Value.Description","DXXPT41X.Count","DXXPT41X.Cumulative","DXXPT41X.Skip.to.Item"
"66.8 to 622.4","Range of Values",3194,3194,NA
".","Missing",514,3708,NA
