"DR2TWS.Code.or.Value","DR2TWS.Value.Description","DR2TWS.Count","DR2TWS.Cumulative","DR2TWS.Skip.to.Item"
"1","Community supply",4478,4478,NA
"2","Well or rain cistern",424,4902,NA
"3","Spring",52,4954,NA
"91","Other",30,4984,NA
"99","Don't know",131,5115,NA
".","Missing",4528,9643,NA
