"DR1IVB2.Code.or.Value","DR1IVB2.Value.Description","DR1IVB2.Count","DR1IVB2.Cumulative","DR1IVB2.Skip.to.Item"
"0 to 8.035","Range of Values",120433,120433,NA
".","Missing",1048,121481,NA
