"DXXPT78X.Code.or.Value","DXXPT78X.Value.Description","DXXPT78X.Count","DXXPT78X.Cumulative","DXXPT78X.Skip.to.Item"
"576.8 to 1155.6","Range of Values",3263,3263,NA
".","Missing",445,3708,NA
