"AUDTYR73.Code.or.Value","AUDTYR73.Value.Description","AUDTYR73.Count","AUDTYR73.Cumulative","AUDTYR73.Skip.to.Item"
"0 to 0.81","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
