"WBXA077.Code.or.Value","WBXA077.Value.Description","WBXA077.Count","WBXA077.Cumulative","WBXA077.Skip.to.Item"
"-0.4 to 1","Range of Values",5682,5682,NA
".","Missing",0,5682,NA
