"URX1DC.Code.or.Value","URX1DC.Value.Description","URX1DC.Count","URX1DC.Cumulative","URX1DC.Skip.to.Item"
"8.9 to 25.8","Range of Values",2475,2475,NA
".","Missing",280,2755,NA
