"DSQTCHOL.Code.or.Value","DSQTCHOL.Value.Description","DSQTCHOL.Count","DSQTCHOL.Cumulative","DSQTCHOL.Skip.to.Item"
"0.002 to 135","Range of Values",482,482,NA
".","Missing",9693,10175,NA
