"URXP04.Code.or.Value","URXP04.Value.Description","URXP04.Count","URXP04.Cumulative","URXP04.Skip.to.Item"
"6.6 to 16311.8","Range of Values",2431,2431,NA
".","Missing",207,2638,NA
