"OSQ010a.Code.or.Value","OSQ010a.Value.Description","OSQ010a.Count","OSQ010a.Cumulative","OSQ010a.Skip.to.Item"
"1","Yes",88,88,"OSQ020a"
"2","No",5317,5405,""
"7","Refused",2,5407,""
"9","Don't know",3,5410,""
".","Missing",1,5411,""
