"DXXL4BMC.Code.or.Value","DXXL4BMC.Value.Description","DXXL4BMC.Count","DXXL4BMC.Cumulative","DXXL4BMC.Skip.to.Item"
"5.43 to 59.77","Range of Values",1734,1734,NA
".","Missing",1164,2898,NA
