"WTSPP31.Code.or.Value","WTSPP31.Value.Description","WTSPP31.Count","WTSPP31.Cumulative","WTSPP31.Skip.to.Item"
"0 to 841483.55004","Range of Values",2125,2125,NA
".","Missing",0,2125,NA
