"BIXC015K.Code.or.Value","BIXC015K.Value.Description","BIXC015K.Count","BIXC015K.Cumulative","BIXC015K.Skip.to.Item"
"20.76 to 356.42","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
