"DR1TVB1.Code.or.Value","DR1TVB1.Value.Description","DR1TVB1.Count","DR1TVB1.Cumulative","DR1TVB1.Skip.to.Item"
"0 to 12.784","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
