"DS1IFIBE.Code.or.Value","DS1IFIBE.Value.Description","DS1IFIBE.Count","DS1IFIBE.Cumulative","DS1IFIBE.Skip.to.Item"
"0.0693 to 167","Range of Values",189,189,NA
".","Missing",5534,5723,NA
