"DXXLSBMC.Code.or.Value","DXXLSBMC.Value.Description","DXXLSBMC.Count","DXXLSBMC.Cumulative","DXXLSBMC.Skip.to.Item"
"8.12 to 123.64","Range of Values",5294,5294,NA
".","Missing",739,6033,NA
