"LBXSF2SI.Code.or.Value","LBXSF2SI.Value.Description","LBXSF2SI.Count","LBXSF2SI.Cumulative","LBXSF2SI.Skip.to.Item"
"0.0636 to 214","Range of Values",7479,7479,NA
".","Missing",1477,8956,NA
