"SSSPIKE.Code.or.Value","SSSPIKE.Value.Description","SSSPIKE.Count","SSSPIKE.Cumulative","SSSPIKE.Skip.to.Item"
"0 to 2.4","Range of Values",79,79,NA
".","Missing",1638,1717,NA
